Date,Income,Category,Budget,Amount,Property,Monthly Overview,Type
"March 25, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),⌚เงินรายชั่วโมง_MAR26 (https://app.notion.com/p/_MAR26-2c90423c142680178fbbcbfabcb5816d?pvs=21)
"March 25, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),👍🏼เงิน top up_MAR26 (https://app.notion.com/p/top-up_MAR26-2c90423c1426804a9804f215d09beb10?pvs=21)
"March 26, 2026",เงินเดือน + เงินประจำตำแหน่ง,Salary,"THB 27,720.00","THB 27,720.00",Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),🏧เงินเดือนจาก สสจ._MAR26 (https://app.notion.com/p/_MAR26-2c90423c14268099aea3c592585ea053?pvs=21)
"April 20, 2026",เวรเหมา 1หมื่น,On duty,"THB 10,000.00","THB 10,000.00",Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),👝เงินเวรเหมา_MAR26 (https://app.notion.com/p/_MAR26-2c90423c1426804db03de34bf7fa6ff2?pvs=21)
"April 23, 2026",DF cost,On duty,THB 600.00,THB 600.00,Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),🤷‍♂️เงิน DF_APR26 (https://app.notion.com/p/DF_APR26-2c90423c142680848f22fa79eeaa9b09?pvs=21)
"April 23, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),⌚เงินรายชั่วโมง_APR26 (https://app.notion.com/p/_APR26-2c90423c14268006a70bc9177235a495?pvs=21)
"April 23, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),👍🏼เงิน top up_APR26 (https://app.notion.com/p/top-up_APR26-2c90423c1426805391bcff0b20adffde?pvs=21)
"April 24, 2026",DF cost,On duty,THB 630.00,THB 630.00,Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),🤷‍♂️เงิน DF_APR26 (https://app.notion.com/p/DF_APR26-2c90423c142680848f22fa79eeaa9b09?pvs=21)
"April 24, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),⌚เงินรายชั่วโมง_APR26 (https://app.notion.com/p/_APR26-2c90423c14268006a70bc9177235a495?pvs=21)
"April 24, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,April 26 (https://app.notion.com/p/April-26-2c90423c142680d49359cb3961872ebf?pvs=21),👍🏼เงิน top up_APR26 (https://app.notion.com/p/top-up_APR26-2c90423c1426805391bcff0b20adffde?pvs=21)
