Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
DF cost,Yes,THB 360.00,THB 360.00,On duty,"June 10, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 18, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
DF cost,Yes,THB 270.00,THB 270.00,On duty,"June 18, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"June 20, 2024",May 24 (https://app.notion.com/p/May-24-f03b6239b22b4b36b8d524541799d9be?pvs=21),👝เงินเวรเหมา_MAY24 (https://app.notion.com/p/_MAY24-98644cfcd10c4d89913eeb33a12c561b?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"June 26, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"June 21, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 22, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
DF cost,Yes,THB 270.00,THB 270.00,On duty,"June 22, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),🤷‍♂️เงิน DF_JUN24 (https://app.notion.com/p/DF_JUN24-7dd77c76e45e47e6b127bcc92e5cf4e8?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"June 24, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),👍🏼เงิน top up_JUN24 (https://app.notion.com/p/top-up_JUN24-7abfb29929b3494883ad14cf4d115b9f?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"June 24, 2024",June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),⌚เงินรายชั่วโมง_JUN24 (https://app.notion.com/p/_JUN24-40e5cdaf054b43b68377460e6acd2a63?pvs=21)
