Expense,Amount,Category,Checkbox,Date,Monthly Overview,Wallet
พาสต้าหมูแฮมเบิร์กชีส,THB 85.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 11, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
น้ำเต้าหู้,THB 79.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 11, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
หมูกระเทียมไข่ดาว,THB 70.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 12, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Tumbler,THB 70.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 12, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
เนตรดวงดาว หมูทอด,THB 167.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 12, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Hoff cafe,THB 220.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 13, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
สุกี้ช้างเผือก,THB 130.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 13, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
7-11,THB 102.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 14, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
เฮือนม๋วนใจ๋,THB 388.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 14, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Diamond grain,THB 662.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 15, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
The barn,THB 125.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 15, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพรากระด้ง,THB 59.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 15, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ป้าเครือ,THB 40.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 16, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
โกบุญ + มะลิกา,THB 175.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 16, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพาะ ผัดผัก,THB 45.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 17, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Mini story,THB 60.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 17, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ลาบยอง,THB 150.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 18, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Mu katsu,THB 160.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 18, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพราหมูสับไข่ดาว,THB 47.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 19, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Ice-cream,THB 50.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 19, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Steak union,THB 138.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 19, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Wan Dee,THB 29.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 19, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพราหมูสับไข่ดาว,THB 69.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 20, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
สุกี้ช้างเผือก,THB 150.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 20, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
เค้ก,THB 620.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 21, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
The bublar,THB 105.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 22, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Sukhothai coffee,THB 40.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 23, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Oil,THB 830.00,Transportation_OCT23 (https://app.notion.com/p/Transportation_OCT23-865d6ca50a394a438523bc6af6c9cf00?pvs=21),No,"October 23, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
ข้าวผัด ไก่ทอด,THB 40.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 24, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ส้มตำอุดร,THB 258.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 25, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Seoul mind,THB 452.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 25, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ไข่ขยี้ ไก่ทอด,THB 47.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 26, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Saladfarm,THB 160.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 26, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
DairyQueen,THB 29.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 27, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
สุกี้ช้างเผือก,THB 157.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 27, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
น้ำดื่ม,THB 7.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 28, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Fresh and mind,THB 95.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 28, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Nuphy,"THB 4,278.00",Entertainment_OCT23 (https://app.notion.com/p/Entertainment_OCT23-4bb4b4d5c2324f879615bdc660fe572a?pvs=21),No,"October 28, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Mark sushi ramen,THB 120.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 28, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ตัดผม,THB 130.00,Health & Fitness_OCT23 (https://app.notion.com/p/Health-Fitness_OCT23-acbace6911144bfda918674649d7ae8e?pvs=21),No,"October 29, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
